ICD10CodeID,Code,ICD_Title
1,A00,Cholera
2,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae"
3,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor"
4,A00.9,"Cholera, unspecified"
5,A01,Typhoid and paratyphoid fevers
6,A01.0,Typhoid fever
7,A01.1,Paratyphoid fever A
8,A01.2,Paratyphoid fever B
9,A01.3,Paratyphoid fever C
10,A01.4,"Paratyphoid fever, unspecified"
11,A02,Other salmonella infections
12,A02.0,Salmonella enteritis
13,A02.1,Salmonella septicemia
14,A02.2,Localized salmonella infections
15,A02.8,Other specified salmonella infections
16,A02.9,"Salmonella infection, unspecified"
17,A03,Shigellosis
18,A03.0,Shigellosis due to Shigella dysenteriae
19,A03.1,Shigellosis due to Shigella flexneri
20,A03.2,Shigellosis due to Shigella boydii
21,A03.3,Shigellosis due to Shigella sonnei
22,A03.8,Other shigellosis
23,A03.9,"Shigellosis, unspecified"
24,A04,Other bacterial intestinal infections
25,A04.0,Enteropathogenic Escherichia coli infection
26,A04.1,Enterotoxigenic Escherichia coli infection
27,A04.2,Enteroinvasive Escherichia coli infection
28,A04.3,Enterohemorrhagic Escherichia coli infection
29,A04.4,Other intestinal Escherichia coli infections
30,A04.5,Campylobacter enteritis
31,A04.6,Enteritis due to Yersinia enterocolitica
32,A04.7,Enterocolitis due to Clostridium difficile
33,A04.8,Other specified bacterial intestinal infections
34,A04.9,"Bacterial intestinal infection, unspecified"
35,A05,"Other bacterial foodborne intoxications, not elsewhere classified"
36,A05.0,Foodborne staphylococcal intoxication
37,A05.1,Botulism
38,A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
39,A05.3,Foodborne Vibrio parahemolyticus intoxication
40,A05.4,Foodborne Bacillus cereus intoxication
41,A05.8,Other specified bacterial foodborne intoxications
42,A05.9,"Bacterial foodborne intoxication, unspecified"
43,A06,Amebiasis
44,A06.0,Acute amebic dysentery
45,A06.1,Chronic intestinal amebiasis
46,A06.2,Amebic nondysenteric colitis
47,A06.3,Ameboma of intestine
48,A06.4,Amebic liver abscess
49,A06.5,Amebic lung abscess
50,A06.6,Amebic brain abscess
51,A06.7,Cutaneous amebiasis
52,A06.8,Amebic infection of other sites
53,A06.9,"Amebiasis, unspecified"
54,A07,Other protozoal intestinal diseases
55,A07.0,Balantidiasis
56,A07.1,Giardiasis [lambliasis]
57,A07.2,Cryptosporidiosis
58,A07.3,Isosporiasis
59,A07.8,Other specified protozoal intestinal diseases
60,A07.9,"Protozoal intestinal disease, unspecified"
61,A08,Viral and other specified intestinal infections
62,A08.0,Rotaviral enteritis
63,A08.1,Acute gastroenteropathy due to Norwalk agent
64,A08.2,Adenoviral enteritis
65,A08.3,Other viral enteritis
66,A08.4,"Viral intestinal infection, unspecified"
67,A08.5,Other specified intestinal infections
68,A09,"Infectious gastroenteritis and colitis, unspecified"
69,A09.0,Other and unspecified gastroenteritis and colitis of infectious origin
70,A09.9,Gastroenteritis and colitis of unspecified origin
71,A15,Respiratory tuberculosis
72,A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
73,A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
74,A16.4,"Tuberculosis of larynx, trachea, and bronchus, without mention of bacteriological or histological confirmation"
75,A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
76,A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
77,A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
78,A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
79,A17,Tuberculosis of nervous system
80,A17.0,Tuberculous meningitis
81,A17.1,Meningeal tuberculoma
82,A17.8,Other tuberculosis of nervous system
83,A17.9,"Tuberculosis of nervous system, unspecified"
84,A18,Tuberculosis of other organs
85,A18.0,Tuberculosis of bones and joints
86,A18.1,Tuberculosis of genitourinary system
87,A18.2,Tuberculous peripheral lymphadenopathy
88,A18.3,"Tuberculosis of intestines, peritoneum, and mesenteric glands"
89,A18.4,Tuberculosis of skin and subcutaneous tissue
90,A18.5,Tuberculosis of eye
91,A18.6,Tuberculosis of ear
92,A18.7,Tuberculosis of adrenal glands
93,A18.8,Tuberculosis of other specified organs
94,A19,Miliary tuberculosis
95,A19.0,Acute miliary tuberculosis of a single specified site
96,A19.1,Acute miliary tuberculosis of multiple sites
97,A19.2,"Acute miliary tuberculosis, unspecified"
98,A19.8,Other miliary tuberculosis
99,A19.9,"Miliary tuberculosis, unspecified"
100,A20,Plague
101,A20.0,Bubonic plague
102,A20.1,Cellulocutaneous plague
103,A20.2,Pneumonic plague
104,A20.3,Plague meningitis
105,A20.7,Septicemic plague
106,A20.8,Other forms of plague
107,A20.9,"Plague, unspecified"
108,A21,Tularemia
109,A21.0,Ulceroglandular tularemia
110,A21.1,Oculoglandular tularemia
111,A21.2,Pulmonary tularemia
112,A21.3,Gastrointestinal tularemia
113,A21.7,Generalized tularemia
114,A21.8,Other forms of tularemia
115,A21.9,"Tularemia, unspecified"
116,A22,Anthrax
117,A22.0,Cutaneous anthrax
118,A22.1,Pulmonary anthrax
119,A22.2,Gastrointestinal anthrax
120,A22.7,Anthrax septicemia
121,A22.8,Other forms of anthrax
122,A22.9,"Anthrax, unspecified"
123,A23,Brucellosis
124,A23.0,Brucellosis due to Brucella melitensis
125,A23.1,Brucellosis due to Brucella abortus
126,A23.2,Brucellosis due to Brucella suis
127,A23.3,Brucellosis due to Brucella canis
128,A23.8,Other brucellosis
129,A23.9,"Brucellosis, unspecified"
130,A24,Glanders and melioidosis
131,A24.0,Glanders
132,A24.1,Acute and fulminating melioidosis
133,A24.2,Subacute and chronic melioidosis
134,A24.3,Other melioidosis
135,A24.4,"Melioidosis, unspecified"
136,A25,Rat-bite fevers
137,A25.0,Spirillosis
138,A25.1,Streptobacillosis
139,A25.9,"Rat-bite fever, unspecified"
140,A26,Erysipeloid
141,A26.0,Cutaneous erysipeloid
142,A26.7,Erysipelothrix septicemia
143,A26.8,Other forms of erysipeloid
144,A26.9,"Erysipeloid, unspecified"
145,A27,Leptospirosis
146,A27.0,Leptospirosis icterohemorrhagica
147,A27.8,Other forms of leptospirosis
148,A27.9,"Leptospirosis, unspecified"
149,A28,"Other zoonotic bacterial diseases, not elsewhere classified"
150,A28.0,Pasteurellosis
151,A28.1,Cat-scratch disease
152,A28.2,Extraintestinal yersiniosis
153,A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified"
154,A28.9,"Zoonotic bacterial disease, unspecified"
155,A30,Leprosy [Hansen's disease]
156,A30.0,Indeterminate leprosy
157,A30.1,Tuberculoid leprosy
158,A30.2,Borderline tuberculoid leprosy
159,A30.3,Borderline leprosy
160,A30.4,Borderline lepromatous leprosy
161,A30.5,Lepromatous leprosy
162,A30.8,Other forms of leprosy
163,A30.9,"Leprosy, unspecified"
